"","userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","DiffScore","DiffAccuracy","DiffRT"
"289",17556,6.85039,7.83173,5,4,2.1068,3.34455,0.98134,-1,1.23775
"290",17557,2.69231,2.82051,3,3,2.36615,4.3537,0.1282,0,1.98755
"291",17558,7.34687,7.67929,5,5,2.34687,2.67929,0.33242,0,0.33242
"292",17559,7.32578,6.65342,5,5,2.45399,1.65342,-0.67236,0,-0.80057
"293",17560,7.6754,5.09824,4,4,3.18822,0.867466,-2.57716,0,-2.320754
"294",17561,3.97436,6.63252,4,4,2.92653,2.14534,2.65816,0,-0.78119
"295",17562,7.30637,6.98431,4,5,2.81919,2.24072,-0.32206,1,-0.57847
"296",17563,7.58945,7.39777,5,5,2.84586,2.78238,-0.19168,0,-0.0634800000000002
"297",17564,2.17949,7.48593,2,4,3.77861,2.99875,5.30644,2,-0.77986
"298",17565,6.77781,7.9844,5,5,1.77781,2.9844,1.20659,0,1.20659
"299",17566,7.33103,8.00531,5,5,2.71564,3.26172,0.67428,0,0.54608
"300",17567,6.64291,6.83415,5,5,1.89932,1.95915,0.191240000000001,0,0.05983
"301",17568,2.30769,3.46154,2,3,2.12118,2.05584,1.15385,1,-0.06534
"302",17569,6.75694,7.44674,5,5,2.01335,2.57494,0.6898,0,0.56159
"303",17570,3.97436,9.48718,4,4,3.33613,5,5.51282,0,1.66387
"304",17571,7.65974,7.71089,4,5,3.17256,2.9673,0.0511499999999998,1,-0.20526
"305",17572,7.68168,8.12936,4,4,3.32271,3.77038,0.44768,0,0.44767
"306",17573,0,2.30769,4,2,0,2.55021,2.30769,-2,2.55021
"307",17574,8.03212,7.7083,5,5,3.03212,3.09292,-0.32382,0,0.0608
"308",17575,6.94641,6.34938,4,4,2.71564,2.24682,-0.59703,0,-0.46882
"309",17576,7.99397,7.20915,5,4,3.37859,2.72197,-0.78482,-1,-0.65662
"310",17578,7.89198,7.78744,5,5,2.89198,3.04385,-0.10454,0,0.15187
"311",17579,2.30769,4.54545,2,5,2.10776,0,2.23776,3,-2.10776
"312",17579,2.30769,6.3039,2,4,2.10776,1.81672,3.99621,2,-0.29104
"313",17580,7.73979,6.91555,5,4,2.73979,2.42837,-0.824240000000001,-1,-0.31142
