"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
541,16983,"PUF18a","dccs",7.71942,5,2.97583
540,16921,"PUF18a","dccs",7.2896,5,2.71817
539,16929,"PUF18a","dccs",5,5,0
538,16928,"PUF18a","dccs",5,5,0
537,16920,"PUF18a","dccs",5,5,0
536,17269,"PUF18a","dccs",7.4363,5,2.9363
535,16982,"PUF18a","dccs",7.82956,5,2.95456
534,16926,"PUF18a","dccs",5,5,0
533,16927,"PUF18a","dccs",6.66935,4,2.5904
532,16927,"PUF18a","dccs",6.44926,5,1.82426
531,16925,"PUF18a","dccs",5,5,0
530,16988,"PUF18a","dccs",7.36408,4,3.11408
529,16924,"PUF18a","dccs",5,5,0
528,16985,"PUF18a","dccs",8.28132,5,3.28132
527,16986,"PUF18a","dccs",6.44591,5,1.82091
526,16990,"PUF18a","dccs",7.13866,5,2.63866
525,16991,"PUF18a","dccs",6.50615,4,2.50615
524,17023,"PUF18a","dccs",8.31184,4,3.93684
523,17272,"PUF18a","dccs",8.23402,5,3.48402
522,17027,"PUF18a","dccs",7.22758,4,2.85258
521,17025,"PUF18a","dccs",6.57148,4,2.19648
520,17019,"PUF18a","dccs",6.42836,5,1.67836
519,17022,"PUF18a","dccs",7.86203,5,2.86203
518,17024,"PUF18a","dccs",8.35339,4,4.22839
517,17008,"PUF18a","dccs",7.61203,5,2.86203
516,17009,"PUF18a","dccs",7.94846,5,3.07346
515,17006,"PUF18a","dccs",7.66167,5,3.16167
514,17007,"PUF18a","dccs",7.88385,5,3.00885
