id,userID,accessCode,task,post_nihScore,post_nihAccuracy,post_nihRTScore,,,,,,
723,17564,FA18UCpost,dccs,7.48593,4,2.99875,,,,,,
722,17565,FA18UCpost,dccs,7.9844,5,2.9844,,,,,,
721,17566,FA18UCpost,dccs,8.00531,5,3.26172,,,,,,
720,17567,FA18UCpost,dccs,6.83415,5,1.95915,,,,,,
719,17568,FA18UCpost,dccs,3.46154,3,2.05584,,,,,,
718,17569,FA18UCpost,dccs,7.44674,5,2.57494,,,,,,
717,17570,FA18UCpost,dccs,9.48718,4,5,,,,,,
716,17571,FA18UCpost,dccs,7.71089,5,2.9673,,,,,,
715,17555,FA18UCpost,dccs,2.30769,2,2.20047,,,,,,
714,17563,FA18UCpost,dccs,7.39777,5,2.78238,,,,,,
713,17572,FA18UCpost,dccs,8.12936,4,3.77038,,,,,,
712,17573,FA18UCpost,dccs,2.30769,2,2.55021,,,,,,
711,17574,FA18UCpost,dccs,7.7083,5,3.09292,,,,,,
710,17575,FA18UCpost,dccs,6.34938,4,2.24682,,,,,,
709,17576,FA18UCpost,dccs,7.20915,4,2.72197,,,,,,
708,17578,FA18UCpost,dccs,7.78744,5,3.04385,,,,,,
707,17580,FA18UCpost,dccs,6.91555,4,2.42837,,,,,,
706,17581,FA18UCpost,dccs,8.27445,4,4.04368,,,,,,
705,17582,FA18UCpost,dccs,3.46154,3,2.23869,,,,,,
704,17583,FA18UCpost,dccs,2.05128,2,3.16322,,,,,,
703,17584,FA18UCpost,dccs,3.46154,3,2.55372,,,,,,
702,17585,FA18UCpost,dccs,7.92867,5,3.18508,,,,,,
701,17587,FA18UCpost,dccs,7.57982,5,2.82982,,,,,,
700,17588,FA18UCpost,dccs,7.92449,5,3.05269,,,,,,
699,17589,FA18UCpost,dccs,3.46154,3,3.10498,,,,,,
698,17590,FA18UCpost,dccs,6.85156,5,1.97977,,,,,,
697,17591,FA18UCpost,dccs,7.04265,5,2.42726,,,,,,
696,17592,FA18UCpost,dccs,7.40536,4,2.91818,,,,,,
695,17595,FA18UCpost,dccs,8.27494,5,3.53135,,,,,,
694,17596,FA18UCpost,dccs,6.86161,4,2.75905,,,,,,
693,17579,FA18UCpost,dccs,4.54545,5,0,,,,,,
692,17579,FA18UCpost,dccs,6.3039,4,1.81672,,,,,,
691,17594,FA18UCpost,dccs,3.20513,3,2.29002,,,,,,
690,17597,FA18UCpost,dccs,7.78157,5,3.03798,,,,,,
689,17599,FA18UCpost,dccs,3.58974,4,0.958945,,,,,,
688,17601,FA18UCpost,dccs,6.71796,5,1.97437,,,,,,
687,17604,FA18UCpost,dccs,3.33333,3,2.3109,,,,,,
686,17606,FA18UCpost,dccs,8.29369,5,3.4219,,,,,,
685,17608,FA18UCpost,dccs,7.6373,5,3.02191,,,,,,
684,17610,FA18UCpost,dccs,7.53904,5,2.79545,,,,,,
683,17611,FA18UCpost,dccs,6.32405,4,1.83687,,,,,,
682,17613,FA18UCpost,dccs,7.06629,5,2.19449,,,,,,
681,17616,FA18UCpost,dccs,7.65027,5,2.77847,,,,,,
680,17617,FA18UCpost,dccs,8.16477,5,3.16477,,,,,,
679,17618,FA18UCpost,dccs,6.70798,4,2.349,,,,,,
678,17619,FA18UCpost,dccs,7.6219,5,2.87831,,,,,,
677,17620,FA18UCpost,dccs,7.19022,4,2.70304,,,,,,
676,17622,FA18UCpost,dccs,6.24079,5,1.4972,,,,,,
675,17623,FA18UCpost,dccs,2.30769,2,2.94471,,,,,,
674,17600,FA18UCpost,dccs,7.23332,5,2.48332,,,,,,
673,17602,FA18UCpost,dccs,8.08242,5,3.08242,,,,,,
672,17603,FA18UCpost,dccs,7.5142,5,2.5142,,,,,,
671,17605,FA18UCpost,dccs,7.05835,5,2.18655,,,,,,
670,17607,FA18UCpost,dccs,7.37959,5,2.76421,,,,,,
669,17612,FA18UCpost,dccs,6.85969,4,2.62892,,,,,,
668,17615,FA18UCpost,dccs,2.4359,2,2.76939,,,,,,
667,17621,FA18UCpost,dccs,2.375,2,3.03945,,,,,,
666,17625,FA18UCpost,dccs,7.33877,5,2.59518,,,,,,
665,17627,FA18UCpost,dccs,7.719,5,2.84721,,,,,,
664,17630,FA18UCpost,dccs,8.05687,5,3.18508,,,,,,
663,17632,FA18UCpost,dccs,6.52468,5,1.78109,,,,,,
662,17634,FA18UCpost,dccs,5.78084,5,1.16546,,,,,,
