"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore"
669,17655,"PUF18","flanker",6.62581,5,1.74486,1250,"FA18UCpost","flanker",6.21637,5,1.69256
670,17654,"PUF18","flanker",7.63623,5,2.63623,1259,"FA18UCpost","flanker",7.88044,5,2.99949
671,17653,"PUF18","flanker",7.2467,5,2.4848,1221,"FA18UCpost","flanker",7.99949,5,2.99949
672,17651,"PUF18","flanker",6.76344,4,2.47772,1260,"FA18UCpost","flanker",6.21898,4,2.17137
673,17645,"PUF18","flanker",3.80952,4,2.22912,1261,"FA18UCpost","flanker",4.88413,5,0.241278
674,17642,"PUF18","flanker",5,5,0,1265,"FA18UCpost","flanker",6.74857,5,2.10572
675,17642,"PUF18","flanker",6.79245,5,2.26865,1265,"FA18UCpost","flanker",6.74857,5,2.10572
676,17641,"PUF18","flanker",7.623,5,2.8611,1266,"FA18UCpost","flanker",7.59139,5,2.82948
677,17640,"PUF18","flanker",8.34512,5,3.46417,1267,"FA18UCpost","flanker",8.18547,5,3.30452
678,17638,"PUF18","flanker",7.83721,5,2.95626,1262,"FA18UCpost","flanker",7.51339,5,2.51339
679,17637,"PUF18","flanker",7.82615,5,3.18329,1268,"FA18UCpost","flanker",5,5,0
680,17636,"PUF18","flanker",7.87127,5,2.87127,1269,"FA18UCpost","flanker",7.82948,5,2.82948
681,17635,"PUF18","flanker",5.23567,5,0.235675,1270,"FA18UCpost","flanker",6.95333,5,2.19142
682,17634,"PUF18","flanker",3.57143,4,1.57047,1271,"FA18UCpost","flanker",3.80952,4,2.6896
683,17632,"PUF18","flanker",7.64234,5,2.99949,1272,"FA18UCpost","flanker",8.05016,5,3.05016
684,17630,"PUF18","flanker",8.10966,5,3.22871,1273,"FA18UCpost","flanker",8.30084,5,3.30084
685,17629,"PUF18","flanker",7.87411,5,3.1122,1263,"FA18UCpost","flanker",7.96024,5,3.07929
686,17628,"PUF18","flanker",7.8611,5,2.8611,1264,"FA18UCpost","flanker",7.52619,5,2.64524
687,17627,"PUF18","flanker",6.3259,5,1.3259,1274,"FA18UCpost","flanker",6.92234,5,2.04139
688,17625,"PUF18","flanker",7.84792,5,2.96697,1275,"FA18UCpost","flanker",7.28934,5,2.40839
689,17623,"PUF18","flanker",6.71348,5,1.95157,1285,"FA18UCpost","flanker",7.52543,5,2.52543
690,17622,"PUF18","flanker",8.23757,5,3.23757,1286,"FA18UCpost","flanker",8.10613,5,3.22517
