"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime"
829,17046,"FA18UCpost","dccs",7.32915,5,2.45735,"2018-12-11 10:07:42"
828,17048,"FA18UCpost","dccs",3.97436,4,4.40262,"2018-12-04 10:20:07"
827,17049,"FA18UCpost","dccs",7.4937,5,2.87831,"2018-12-04 10:00:55"
826,17050,"FA18UCpost","dccs",7.25282,5,2.63744,"2018-12-04 10:01:22"
825,17051,"FA18UCpost","dccs",7.05491,5,2.05491,"2018-12-11 10:10:05"
824,17057,"FA18UCpost","dccs",8.20255,5,3.45896,"2018-12-04 08:24:36"
803,17058,"FA18UCpost","dccs",7.14826,5,2.14826,"2018-12-05 08:55:38"
802,17059,"FA18UCpost","dccs",8.69378,5,3.95019,"2018-12-05 08:55:16"
801,17060,"FA18UCpost","dccs",7.03951,4,2.68054,"2018-12-19 08:57:31"
800,17061,"FA18UCpost","dccs",2.05128,2,2.85393,"2018-12-05 08:57:32"
799,17062,"FA18UCpost","dccs",7.03702,4,2.67805,"2018-12-05 08:58:28"
797,17063,"FA18UCpost","dccs",7.60429,4,3.11712,"2018-12-05 08:54:40"
796,17064,"FA18UCpost","dccs",8.8153,5,3.94351,"2018-12-05 08:54:57"
795,17065,"FA18UCpost","dccs",7.93071,5,2.93071,"2018-12-05 08:55:11"
794,17066,"FA18UCpost","dccs",3.33333,3,0,"2018-12-05 09:00:54"
793,17067,"FA18UCpost","dccs",3.97436,4,2.98154,"2018-12-05 08:59:36"
792,17068,"FA18UCpost","dccs",8.24267,5,3.62729,"2018-12-05 08:54:28"
791,17069,"FA18UCpost","dccs",3.84615,4,2.38127,"2018-12-05 08:58:43"
790,17070,"FA18UCpost","dccs",7.23209,4,2.74491,"2018-12-05 08:56:27"
789,17071,"FA18UCpost","dccs",7.73659,5,2.993,"2018-12-05 08:57:15"
788,17072,"FA18UCpost","dccs",7.27717,5,2.77717,"2018-12-05 08:56:54"
787,17073,"FA18UCpost","dccs",7.30554,5,2.56195,"2018-12-05 08:55:03"
786,17074,"FA18UCpost","dccs",7.20543,5,2.46184,"2018-12-05 08:55:52"
785,17075,"FA18UCpost","dccs",5,5,0,"2018-12-05 09:00:52"
784,17076,"FA18UCpost","dccs",3.33333,3,2.75518,"2018-12-05 08:58:43"
783,17077,"FA18UCpost","dccs",6.53539,4,2.30462,"2018-12-05 08:56:55"
765,17083,"FA18UCpost","dccs",7.56551,5,2.69051,"2018-12-05 10:06:23"
764,17084,"FA18UCpost","dccs",7.89662,5,3.02482,"2018-12-05 10:07:14"
763,17085,"FA18UCpost","dccs",7.63283,5,2.88924,"2018-12-05 10:09:07"
762,17086,"FA18UCpost","dccs",8.10169,5,3.3581,"2018-12-05 10:04:30"
761,17087,"FA18UCpost","dccs",7.94079,5,3.06899,"2018-12-05 10:03:36"
760,17088,"FA18UCpost","dccs",7.1278,5,2.25601,"2018-12-05 10:05:54"
759,17089,"FA18UCpost","dccs",7.34921,4,2.86203,"2018-12-05 10:04:32"
758,17090,"FA18UCpost","dccs",8.34862,5,3.47683,"2018-12-05 10:07:33"
757,17091,"FA18UCpost","dccs",7.32684,5,2.58325,"2018-12-05 10:05:25"
756,17092,"FA18UCpost","dccs",6.579,5,1.96362,"2018-12-05 10:06:15"
755,17093,"FA18UCpost","dccs",8.85831,5,4.11472,"2018-12-05 10:05:44"
754,17094,"FA18UCpost","dccs",7.46049,5,2.7169,"2018-12-05 10:06:58"
753,17095,"FA18UCpost","dccs",7.14544,4,2.65826,"2018-12-05 10:05:15"
752,17096,"FA18UCpost","dccs",3.07692,3,3.20399,"2018-12-05 10:05:25"
751,17097,"FA18UCpost","dccs",8.10045,5,3.10045,"2018-12-05 10:11:31"
750,17098,"FA18UCpost","dccs",7.8053,5,2.9335,"2018-12-05 10:06:39"
749,17099,"FA18UCpost","dccs",7.42435,5,2.55255,"2018-12-05 10:05:46"
748,17100,"FA18UCpost","dccs",6.46196,4,2.10299,"2018-12-05 10:06:42"
823,17132,"FA18UCpost","dccs",7.61798,5,2.74619,"2018-12-05 09:03:47"
822,17133,"FA18UCpost","dccs",7.51039,5,2.7668,"2018-12-05 08:55:22"
821,17134,"FA18UCpost","dccs",7.36754,4,3.26498,"2018-12-05 09:00:39"
820,17135,"FA18UCpost","dccs",7.3079,5,2.56431,"2018-12-05 08:59:49"
819,17136,"FA18UCpost","dccs",6.91333,4,2.42615,"2018-12-05 09:01:44"
818,17137,"FA18UCpost","dccs",3.71795,4,0,"2018-12-05 09:03:02"
817,17138,"FA18UCpost","dccs",8.54378,5,3.67198,"2018-12-05 08:58:58"
816,17139,"FA18UCpost","dccs",6.35291,4,1.86573,"2018-12-05 09:00:37"
815,17140,"FA18UCpost","dccs",8.01119,5,3.39581,"2018-12-05 09:01:23"
814,17141,"FA18UCpost","dccs",6.63598,5,1.89239,"2018-12-05 09:03:30"
813,17142,"FA18UCpost","dccs",6.84597,5,2.23058,"2018-12-05 09:04:09"
812,17143,"FA18UCpost","dccs",7.6725,5,2.80071,"2018-12-05 08:59:18"
811,17144,"FA18UCpost","dccs",6.34523,4,2.11446,"2018-12-05 08:59:41"
810,17145,"FA18UCpost","dccs",3.84615,4,2.9016,"2018-12-05 08:59:37"
809,17146,"FA18UCpost","dccs",2.125,2,0.149816,"2018-12-05 09:06:19"
808,17147,"FA18UCpost","dccs",7.6519,5,3.03652,"2018-12-05 08:57:42"
807,17149,"FA18UCpost","dccs",6.13827,4,1.65109,"2018-12-05 09:00:10"
806,17150,"FA18UCpost","dccs",7.24881,4,2.76163,"2018-12-05 08:57:40"
805,17151,"FA18UCpost","dccs",8.46723,5,3.72364,"2018-12-05 08:59:46"
804,17152,"FA18UCpost","dccs",7.636,5,2.76421,"2018-12-05 08:58:10"
782,17156,"FA18UCpost","dccs",2.69231,3,1.65342,"2018-12-19 09:37:08"
781,17157,"FA18UCpost","dccs",7.37154,5,2.37154,"2018-12-19 09:41:03"
780,17158,"FA18UCpost","dccs",7.18674,4,2.95597,"2018-12-19 09:34:38"
779,17159,"FA18UCpost","dccs",7.37701,5,2.76163,"2018-12-19 09:41:55"
778,17160,"FA18UCpost","dccs",3.58974,4,2.24886,"2018-12-19 09:40:26"
777,17161,"FA18UCpost","dccs",2.17949,2,3.06899,"2018-12-19 09:41:31"
776,17162,"FA18UCpost","dccs",3.71795,4,1.93255,"2018-12-19 09:44:15"
775,17163,"FA18UCpost","dccs",6.84619,4,2.74363,"2018-12-19 09:36:33"
774,17164,"FA18UCpost","dccs",7.30839,5,2.69301,"2018-12-19 09:37:48"
773,17166,"FA18UCpost","dccs",5.96074,4,1.71074,"2018-12-19 09:29:56"
772,17167,"FA18UCpost","dccs",6.81723,5,2.07364,"2018-12-19 09:40:36"
771,17168,"FA18UCpost","dccs",7.505,5,2.505,"2018-12-19 09:35:54"
770,17169,"FA18UCpost","dccs",6.12044,5,1.37044,"2018-12-19 09:38:34"
769,17170,"FA18UCpost","dccs",7.39828,5,2.77328,"2018-12-19 09:37:21"
768,17172,"FA18UCpost","dccs",7.6507,5,2.90711,"2018-12-19 09:36:37"
767,17173,"FA18UCpost","dccs",6.85114,5,2.35114,"2018-12-19 09:46:51"
766,17174,"FA18UCpost","dccs",3.97436,4,2.78238,"2018-12-19 09:38:17"
1072,17192,"JRPOF18","dccs",3.625,4,1.36501,"2018-11-28 11:02:34"
1071,17194,"JRPOF18","dccs",7.10078,4,2.72578,"2018-11-28 11:01:57"
1070,17195,"JRPOF18","dccs",6.72651,4,2.47651,"2018-11-28 11:16:14"
1084,17196,"JRPOF18","dccs",5,5,0,"2018-11-28 10:53:42"
1082,17197,"JRPOF18","dccs",7.05669,5,2.43169,"2018-11-28 11:01:54"
1069,17198,"JRPOF18","dccs",6.79436,4,2.54436,"2018-11-28 11:06:30"
1081,17199,"JRPOF18","dccs",7.33092,4,3.08092,"2018-11-28 10:59:54"
1080,17200,"JRPOF18","dccs",7.52774,5,3.02774,"2018-12-04 10:00:24"
1079,17201,"JRPOF18","dccs",7.72293,4,3.34793,"2018-11-28 10:58:03"
1068,17202,"JRPOF18","dccs",6.91412,5,2.03912,"2018-11-28 11:04:55"
1078,17203,"JRPOF18","dccs",7.49363,5,2.74363,"2018-11-28 11:01:00"
1077,17204,"JRPOF18","dccs",2,2,0.749834,"2018-11-28 11:06:25"
1067,17205,"JRPOF18","dccs",3.625,4,2.489,"2018-11-28 11:14:01"
1066,17206,"JRPOF18","dccs",3.25,3,3.74384,"2018-11-28 11:01:25"
